chirality,probe_kind,gamma_probe,I_plus,I_minus,A_current,Iz_plus,Iz_minus,mu_probe_plus,mu_probe_minus,residual_plus,residual_minus
1,tau_plus,0.8,0.15542281652745485,0.15646344777930749,-0.0033365728823155265,0.021864585213749062,-0.02162851533397264,0.06859747641067102,0.07178729918353273,7.792940858591946e-11,4.8407306808828654e-11
1,tau_plus,1.2,0.14615116643832063,0.14696601288236022,-0.0027799341066533645,0.01887173348198251,-0.01959074556600085,0.0688182523630167,0.07123733929680809,2.7125480681067238e-12,2.8586620917647743e-12
1,rho_plus,0.05,0.20027711830115746,0.20053162739872682,-0.0006349888826026902,0.043793392679217696,-0.03599475326892743,0.06857002298725877,0.07691327116319041,2.321873162486332e-14,1.1054525350662203e-15
1,rho_plus,0.1,0.1939227579388217,0.19426298030737743,-0.000876442215762093,0.04322571139229834,-0.03242336582922762,0.06650948726281579,0.07331306461635295,9.185863875105227e-13,2.595714441999686e-13
1,rho_plus,0.25,0.1792662303381341,0.1794984800497629,-0.0006473594110683088,0.04288886842458808,-0.0258381718126719,0.06348441582267295,0.06682244583607314,1.4796102624364815e-10,8.357909676848241e-11
1,rho_plus,0.5,0.1632101768655684,0.1632096387764816,1.6484571739532345e-06,0.04267798505949829,-0.02128782239191757,0.06166634212163692,0.06204752385472367,2.1206360018705128e-10,2.5607480545752903e-10
1,rho_plus,0.8,0.1510503929817882,0.15097959794768334,0.00023439736526496762,0.04188512183299098,-0.019450493579087066,0.060232619843241374,0.05917773423579782,6.588176185151617e-13,6.769888469260188e-13
1,rho_plus,1.2,0.14070190748017725,0.14066420493053658,0.0001339981894679341,0.04056094986832714,-0.01865035255120636,0.05869077318499022,0.056861918943792195,1.3120414876083286e-09,1.3456458395483262e-09
-1,all,0.05,0.19528451080959952,0.19545788603243935,-0.00044370722051418905,0.03513628930987649,-0.041350349091999854,0.061379888606475426,0.06351206537628878,6.730727086790012e-14,1.6434423266709075e-13
-1,all,0.1,0.18549284374484415,0.18556843545230242,-0.0002037175843888312,0.03204385152334979,-0.03797724703205997,0.06356603885251018,0.06523847960624474,1.0349473882065308e-11,3.2914799358296776e-12
-1,all,0.25,0.16408720005293578,0.1639172829983066,0.0005180327203108272,0.02741655589513024,-0.030722740271903193,0.06705608466440628,0.06785869616160499,1.507344596363147e-13,1.835554278017959e-13
-1,all,0.5,0.14177494481338962,0.14163978838648417,0.00047688567697056134,0.023426090077250165,-0.02450095287719118,0.06884215367934883,0.06909107088515079,1.7243151351209463e-14,1.738626603797755e-14
-1,all,0.8,0.12598338330257522,0.12593362002169461,0.00019753839647159124,0.020684710113882614,-0.021017985344381433,0.06930817006746094,0.0693728322848911,1.0916770959434885e-11,1.0952115950257912e-11
-1,all,1.2,0.11326116828116091,0.11324941536759446,5.188681860744062e-05,0.018800601138010433,-0.018898860994085033,0.06960485798839199,0.06961423473372226,1.3349569887022295e-10,1.3343065714821467e-10
-1,tau_plus,0.05,0.20119061538686311,0.2007645838521516,0.0010598980570921469,0.037509473244047166,-0.04185318697795351,0.08310088235795263,0.07362162182066889,3.0134943910901935e-11,2.368362616482836e-10
-1,tau_plus,0.1,0.19554876884755307,0.19481303537540118,0.0018847475961856065,0.034989742334801524,-0.0391583269523382,0.08031332044423223,0.07181381609429434,2.470315358521491e-11,4.461195085223024e-12
-1,tau_plus,0.25,0.18231827224652586,0.18113557930012705,0.003254038831521353,0.029707537074879956,-0.032973831645032474,0.07554776066348291,0.06918322806426595,3.1474302331080395e-12,1.4643259695079625e-11
-1,tau_plus,0.5,0.16763325338062163,0.1664060517290848,0.003673824106219457,0.024730333787643853,-0.026360530676216614,0.07279166195038665,0.06841887949199006,8.367265214026531e-14,2.546574062733953e-15
-1,tau_plus,0.8,0.15646344777930749,0.15542281652745485,0.0033365728823155265,0.021628515333972628,-0.021864585213749073,0.07178729918353274,0.068597476410671,4.8407319819254724e-11,7.792940685119598e-11
-1,tau_plus,1.2,0.14696601288236022,0.14615116643832063,0.0027799341066533645,0.019590745566000812,-0.018871733481982508,0.0712373392968081,0.0688182523630167,2.8586612244030363e-12,2.712546333383248e-12
-1,rho_plus,0.05,0.20053162739872682,0.20027711830115752,0.0006349888826025517,0.035994753268927454,-0.04379339267921772,0.07691327116319045,0.06857002298725877,1.1097893437561623e-15,2.3217430582256338e-14
