chain_detuning,channel_detuning,I_plus,I_minus,Delta_I,A_current,Iz_plus,Iz_minus,mu_probe_plus,mu_probe_minus,residual
0.7999999999999999,0.6,0.17614205536217467,0.17621618593716115,-7.413057498648068e-05,-0.00021038410997035594,0.02897733703964972,-0.02675773324917886,0.07751662290871114,0.07846647636024202,9.013987473105445e-12
0.7999999999999999,0.7999999999999999,0.15963168618203696,0.15996355672845888,-0.0003318705464219196,-0.0010384089055883148,0.027424265344893114,-0.021951125177194965,0.06402171911604267,0.0650253739602299,6.930220286527344e-16
0.7999999999999999,0.9999999999999999,0.13974569357721103,0.13953096455486994,0.00021472902234109803,0.0007688756510382768,0.02681140345453899,-0.02256057752715851,0.06101637701968081,0.06236145415778371,1.594124138248887e-14
0.7999999999999999,1.2,0.1304171652996796,0.1301679919210735,0.00024917337860608235,0.0009562071042864375,0.025986907082671925,-0.026279757331346004,0.0693699777988351,0.07131300787820609,5.5114879674023065e-12
0.7999999999999999,1.4,0.1301097911372364,0.13021615274962947,-0.00010636161239307995,-0.000408570927680198,0.02060376922495585,-0.022572831529298794,0.07305849273887467,0.07450279391752528,9.43513676909813e-10
0.9999999999999999,0.0,0.20251246469710132,0.20255241635436963,-3.995165726830563e-05,-9.863026674788189e-05,0.008264621699842097,-0.008543591424287473,0.0615796196561277,0.06151704447713575,5.3805180796895336e-12
0.9999999999999999,0.19999999999999998,0.19307629922051014,0.19302579241268014,5.050680783000305e-05,0.00013081205443970031,0.025924969244768538,-0.02558521008599048,0.06175718006220801,0.06195541280282059,1.1336961751318153e-11
0.9999999999999999,0.39999999999999997,0.18269823706060265,0.18264430840541657,5.39286551860807e-05,0.00014761120995993238,0.034325051102496895,-0.03336874783376254,0.07926507362537652,0.07999059982004433,4.380176776841438e-16
0.9999999999999999,0.6,0.16129332870823343,0.16163103548788085,-0.00033770677964742313,-0.0010457767114850814,0.030715621622020368,-0.027721482641681436,0.06415047523765091,0.06469948664026484,1.2782642132280753e-11
0.9999999999999999,0.7999999999999999,0.13918908203589714,0.13896108581873012,0.00022799621716701468,0.0008196875052262233,0.025317479492900304,-0.021141521943830923,0.05837806168211842,0.0583127578294661,3.421828792538051e-14
0.9999999999999999,0.9999999999999999,0.12681836986870407,0.12652278293798042,0.0002955869307236514,0.0011667545025707022,0.02178480394553155,-0.02067798332525616,0.06364051912478753,0.06402519232571628,1.4527988187462704e-12
0.9999999999999999,1.2,0.12161979422775582,0.12140309254752187,0.0002167016802339522,0.0008916924784715252,0.022274536401320006,-0.02221639366951027,0.06627964631840223,0.06714185613904625,1.7047852712837042e-11
0.9999999999999999,1.4,0.12136204944288657,0.12126201780404244,0.0001000316388441308,0.00041229066835453,0.023581410709256217,-0.024099301971477888,0.069772857033179,0.07072661039386273,1.4578616092109087e-14
1.2,0.0,0.1550255160768225,0.15505686326428392,-3.13471874614224e-05,-0.00010109309509309105,0.009107463132836115,-0.009218205931415454,0.06712245931457973,0.06702976249650774,2.652030504923797e-12
1.2,0.19999999999999998,0.1784053704421416,0.17826549627848431,0.00013987416365729421,0.0003921659342220827,0.01823045239795559,-0.01752366205480307,0.0819349841831645,0.08202886772184924,9.544028761743206e-12
1.2,0.39999999999999997,0.17246445159509755,0.1725980697003986,-0.00013361810530104767,-0.00038722868191942266,0.027737430042595268,-0.026163777184518552,0.06294225366456657,0.06287718378005938,9.861902960928148e-16
1.2,0.6,0.14493964968570655,0.14478961703181414,0.00015003265389240683,0.0005178374128102329,0.03050029985081979,-0.02776100695010883,0.06064778174645215,0.06023256790940694,6.301677929476668e-11
1.2,0.7999999999999999,0.12700829026202862,0.12680865703258629,0.00019963322944233086,0.0007865244286096036,0.0262094340393305,-0.025198573404260884,0.06548262685481167,0.06520526800050357,3.362110936877549e-13
1.2,0.9999999999999999,0.12020270281542005,0.12006380324300839,0.00013889957241165762,0.0005781062649567967,0.02135841342810727,-0.02084645831788648,0.06389116135523296,0.06389284735359108,6.576609916375542e-12
1.2,1.2,0.1172120482758377,0.11710186924641722,0.00011017902942048186,0.0004702197401911355,0.019154694242291163,-0.018881550831403384,0.06293910558426523,0.06311071668243763,3.832154038541091e-11
1.2,1.4,0.11594079657934324,0.11585160676538836,8.918981395487913e-05,0.0003847831622947203,0.020496465220410487,-0.020449438412461184,0.06484365579762866,0.06516334257274548,7.847889005319075e-14
1.4,0.0,0.13289725148105877,0.1329067114357365,-9.459954677742966e-06,-3.558996853897253e-05,0.02316160580560991,-0.022973182909137135,0.07904239512308572,0.07898934870287577,4.675927067418484e-10
1.4,0.19999999999999998,0.13504789887562804,0.1350430811045099,4.817771118131864e-06,1.7837586129259683e-05,0.010308039607393153,-0.009891019894664049,0.06665940768565926,0.06661553616476408,1.316382204630262e-09
1.4,0.39999999999999997,0.14042243402229235,0.14043505513965607,-1.2621117363720291e-05,-4.4937798886476144e-05,0.013237387547104091,-0.012454552450221364,0.0623334068775287,0.06235112546295243,4.4922520564538715e-12
